Time,Moisture,Light,Temp
1/1/1970-0:11:27,1023,507,146
1/1/1970-0:11:33,1023,507,144
1/1/1970-0:11:39,1023,502,144
1/1/1970-0:11:45,1023,523,146
1/1/1970-0:11:51,1023,507,144
1/1/1970-0:11:57,1023,504,146
1/1/1970-0:12:3,1023,529,145
1/1/1970-0:12:9,1023,519,145
1/1/1970-0:12:15,1023,512,145
1/1/1970-0:12:21,1023,515,145
1/1/1970-0:12:27,1023,525,145
1/1/1970-0:12:33,1023,575,146
1/1/1970-0:12:39,1023,567,145
1/1/1970-0:12:45,1023,558,146
1/1/1970-0:12:51,1023,558,144
1/1/1970-0:12:57,1023,519,144
1/1/1970-0:13:3,1023,513,145
1/1/1970-0:13:9,1023,514,145
1/1/1970-0:13:16,1023,539,145
1/1/1970-0:13:22,1023,520,145
1/1/1970-0:13:28,1023,523,145
1/1/1970-0:13:34,1023,613,146
1/1/1970-0:13:40,1023,589,145
1/1/1970-0:13:46,1023,546,145
1/1/1970-0:13:52,1023,502,146
1/1/1970-0:13:58,1023,496,145
1/1/1970-0:14:4,1023,635,145
1/1/1970-0:14:10,1023,639,146
1/1/1970-0:14:16,1023,587,146
1/1/1970-0:14:22,1023,552,146
1/1/1970-0:14:28,1023,529,145
1/1/1970-0:14:34,1023,505,146
1/1/1970-0:14:40,1023,467,145
1/1/1970-0:14:46,1023,465,146
1/1/1970-0:14:52,1023,480,146
1/1/1970-0:14:58,1023,467,146
1/1/1970-0:15:4,1023,465,145
1/1/1970-0:15:10,1023,467,146
1/1/1970-0:15:16,1023,485,146
1/1/1970-0:15:22,1023,490,145
1/1/1970-0:15:28,1023,500,145
1/1/1970-0:15:34,1023,482,145
1/1/1970-0:15:40,1023,479,145
1/1/1970-0:15:46,1023,477,146
1/1/1970-0:15:52,1023,487,146
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1017,548,145
1/1/1970-0:0:6,1023,503,144
1/1/1970-0:0:12,1023,496,145
1/1/1970-0:0:18,1023,485,145
1/1/1970-0:0:24,1023,480,145
1/1/1970-0:0:30,1023,502,144
1/1/1970-0:0:36,1023,493,145
1/1/1970-0:0:42,1023,480,144
1/1/1970-0:0:48,1023,487,145
1/1/1970-0:0:54,1023,502,144
1/1/1970-0:1:0,1023,498,144
1/1/1970-0:1:6,1023,481,145
1/1/1970-0:1:12,1023,481,145
1/1/1970-0:1:18,1023,480,145
1/1/1970-0:1:24,1023,531,144
1/1/1970-0:1:30,1023,496,144
1/1/1970-0:1:36,1023,547,144
1/1/1970-0:1:42,1023,501,144
1/1/1970-0:1:48,1023,495,144
1/1/1970-0:1:54,1023,497,145
1/1/1970-0:2:0,1023,497,145
1/1/1970-0:2:6,1023,499,145
1/1/1970-0:2:12,1023,502,145
1/1/1970-0:2:18,1023,503,145
1/1/1970-0:2:24,1023,509,144
1/1/1970-0:2:30,1023,498,145
1/1/1970-0:2:36,1023,500,144
1/1/1970-0:2:42,1023,505,144
1/1/1970-0:2:48,1023,517,144
1/1/1970-0:2:54,1023,527,145
1/1/1970-0:3:0,1023,532,145
1/1/1970-0:3:6,1023,527,145
1/1/1970-0:3:12,1023,529,144
1/1/1970-0:3:18,1023,520,144
1/1/1970-0:3:24,1023,521,144
1/1/1970-0:3:31,1023,512,144
1/1/1970-0:3:37,1023,505,144
1/1/1970-0:3:43,1023,511,144
1/1/1970-0:3:49,1023,519,144
1/1/1970-0:3:55,1023,518,144
